,precision,recall,f1-score,support
Billing and Payments,1.0,1.0,1.0,9.0
Customer Service,0.875,0.8235294117647058,0.8484848484848485,17.0
General Inquiry,1.0,1.0,1.0,1.0
Human Resources,1.0,1.0,1.0,3.0
IT Support,0.8235294117647058,0.9333333333333333,0.875,15.0
Product Support,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
Returns and Exchanges,1.0,0.875,0.9333333333333333,8.0
Sales and Pre-Sales,1.0,1.0,1.0,3.0
Service Outages and Maintenance,1.0,1.0,1.0,3.0
Technical Support,0.8837209302325582,0.9047619047619048,0.8941176470588236,42.0
accuracy,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333
macro avg,0.9526694786441707,0.9431361491965207,0.9469854747795925,120.0
weighted avg,0.910738872422354,0.9083333333333333,0.9085692477236597,120.0
